Symbol,Strategy,Window,BestParams,Trades,WinRate%,TotalReturn%,ProfitFactor,Sharpe,MaxDD%,Score
HBARUSDT,Vortex-Cross,W01,"Vortex(21) ATR×1.5",83,26.51,-32.54,0.40,-3.04,36.75,8.10
HBARUSDT,Vortex-Cross,W02,"Vortex(21) ATR×1.5",53,26.42,-16.46,0.40,-2.35,17.26,8.07
HBARUSDT,Vortex-Cross,W03,"Vortex(21) ATR×2.0",80,16.25,-41.67,0.23,-5.31,41.67,4.83
HBARUSDT,Vortex-Cross,W04,"Vortex(14) ATR×2.0",85,29.41,-16.05,0.60,-1.87,21.53,10.60
HBARUSDT,Vortex-Cross,W05,"Vortex(14) ATR×2.0",79,22.78,-14.84,0.53,-2.03,16.36,8.29
HBARUSDT,Vortex-Cross,W06,"Vortex(14) ATR×2.0",83,19.28,-8.35,0.79,-0.62,17.86,15.17
HBARUSDT,Vortex-Cross,W07,"Vortex(14) ATR×2.0",84,22.62,-25.21,0.59,-1.62,25.99,10.29
HBARUSDT,Vortex-Cross,W08,"Vortex(21) ATR×2.5",74,29.73,-17.98,0.64,-1.54,18.02,12.34
HBARUSDT,Vortex-Cross,W09,"Vortex(21) ATR×2.5",66,21.21,-34.50,0.22,-5.12,34.50,5.80
HBARUSDT,Vortex-Cross,W10,"Vortex(21) ATR×2.5",62,29.03,-7.28,0.73,-0.97,11.67,15.21
HBARUSDT,Vortex-Cross,W11,"Vortex(28) ATR×1.5",57,14.04,-19.58,0.26,-4.37,21.64,4.61
HBARUSDT,Vortex-Cross,W12,"Vortex(28) ATR×2.0",56,30.36,-3.92,0.86,-0.41,8.38,18.70
HBARUSDT,Vortex-Cross,W13,"Vortex(28) ATR×2.0",50,30.00,-16.37,0.51,-1.92,16.41,9.94
HBARUSDT,PSAR-Trail,W01,"PSAR(0.01/0.015/0.2) ATR×2.5",55,23.64,-48.79,0.34,-3.11,50.15,7.11
HBARUSDT,PSAR-Trail,W02,"PSAR(0.02/0.015/0.2) ATR×1.5",70,32.86,-18.69,0.66,-1.32,20.26,14.01
HBARUSDT,PSAR-Trail,W03,"PSAR(0.02/0.015/0.2) ATR×2.0",59,35.59,-12.50,0.65,-1.30,19.20,14.59
HBARUSDT,PSAR-Trail,W04,"PSAR(0.02/0.015/0.2) ATR×2.0",60,38.33,-19.35,0.51,-2.20,19.35,11.21
HBARUSDT,PSAR-Trail,W05,"PSAR(0.02/0.015/0.2) ATR×2.0",58,27.59,-8.33,0.73,-0.90,16.69,15.18
HBARUSDT,PSAR-Trail,W06,"PSAR(0.02/0.015/0.2) ATR×2.5",73,24.66,-14.26,0.72,-0.91,16.19,14.48
HBARUSDT,PSAR-Trail,W07,"PSAR(0.01/0.015/0.3) ATR×2.5",58,36.21,4.73,1.09,0.21,23.24,24.88
HBARUSDT,PSAR-Trail,W08,"PSAR(0.01/0.015/0.2) ATR×2.5",55,34.55,-8.68,0.81,-0.60,11.62,18.43
HBARUSDT,PSAR-Trail,W09,"PSAR(0.01/0.015/0.2) ATR×2.5",62,22.58,-28.49,0.43,-2.82,28.71,7.55
HBARUSDT,PSAR-Trail,W10,"PSAR(0.01/0.015/0.2) ATR×2.5",57,38.60,-7.68,0.74,-0.86,15.31,17.62
HBARUSDT,PSAR-Trail,W11,"PSAR(0.01/0.015/0.2) ATR×2.5",50,26.00,-15.24,0.50,-1.90,16.54,9.07
HBARUSDT,PSAR-Trail,W12,"PSAR(0.01/0.015/0.2) ATR×2.5",52,38.46,12.65,1.37,0.75,7.20,31.16
HBARUSDT,PSAR-Trail,W13,"PSAR(0.01/0.015/0.2) ATR×2.5",62,30.65,-19.50,0.66,-1.26,33.89,13.85
ICPUSDT,TripleEMA-MTF,W01,"EMA(13/34/89) ATR×2.0",7,42.86,1.44,1.20,0.22,2.80,28.33
ICPUSDT,TripleEMA-MTF,W02,"EMA(9/34/89) ATR×3.0",15,46.67,-6.24,0.46,-1.16,7.98,16.04
